dataset_stem,n_train,kernel,kernel_family,kernel_label,kernel_nu,kernel_lengthscale,eps,reg_lambda,method,method_family,M,mtot,topk,q,btab_active_topk,btab_box_size,btab_eig_q,cg_iters,time_solve,time_total,rmse_test,rmse_train,Speedup,status,table1_source,selection_note
synthetic_true_func_2d_n1000000,1000000,SE,SE,SE,1.5,0.1,1e-05,0.1,btab_boxeig_topk_512_q256,Box-EigenPro,1225.0,35.0,512.0,256.0,512.0,625.0,256.0,10.0,0.4777723510001124,0.4967852280001352,0.000419936953119,0.0200051188949215,1.7704918492464703,ok,group_b,selected by min time_total under 1.1x EFGP-CG train RMSE
synthetic_true_func_2d_n10000000,10000000,Matern-1.5,matern,Matern-1.5,1.5,0.1,1e-05,0.1,plain_cg,EFGP-CG,35721.0,189.0,,,,,,2457.0,2.6170047230000364,2.747195407999925,0.0005571523614198,0.0199956859302088,1.0,ok,group_a,EFGP-CG baseline; speedup uses time_total
synthetic_true_func_2d_n10000000,10000000,Matern-1.5,matern,Matern-1.5,1.5,0.1,1e-05,0.1,eigenpro_pcg_q128,EigenPro-PCG,35721.0,189.0,,128.0,,,,446.0,0.6641834659999404,1.1570519090000744,0.0005604738736457,0.0199956823400584,2.3743061021126137,ok,group_a,selected by min time_total under 1.1x EFGP-CG train RMSE
synthetic_true_func_2d_n10000000,10000000,Matern-1.5,matern,Matern-1.5,1.5,0.1,1e-05,0.1,btab_auto_topk_2048,Active inverse,35721.0,189.0,2048.0,,2048.0,2601.0,,173.0,0.4802579229999537,0.5537140460000955,0.0005599977694326,0.0199956665198161,4.961397363576092,ok,group_a,selected by min time_total under 1.1x EFGP-CG train RMSE
synthetic_true_func_2d_n10000000,10000000,Matern-1.5,matern,Matern-1.5,1.5,0.1,1e-05,0.1,btab_boxeig_topk_2048_q192,Box-EigenPro,35721.0,189.0,2048.0,192.0,2048.0,2601.0,192.0,275.0,0.8407348159998946,0.9223109849999672,0.000560112731357,0.0199956670600922,2.9785999003362438,ok,group_a,selected by min time_total under 1.1x EFGP-CG train RMSE
synthetic_true_func_2d_n10000000,10000000,SE,SE,SE,1.5,0.1,1e-05,0.1,plain_cg,EFGP-CG,1225.0,35.0,,,,,,1355.0,1.4420366700001068,1.573567801000081,0.0001376891111743,0.0200050472159819,1.0,ok,group_b,EFGP-CG baseline; speedup uses time_total
synthetic_true_func_2d_n10000000,10000000,SE,SE,SE,1.5,0.1,1e-05,0.1,eigenpro_pcg_q128,EigenPro-PCG,1225.0,35.0,,128.0,,,,99.0,0.1433205800003634,0.6141369840001971,0.0003553397859073,0.0200081422648542,2.5622423693662064,ok,group_b,selected by min time_total under 1.1x EFGP-CG train RMSE
synthetic_true_func_2d_n10000000,10000000,SE,SE,SE,1.5,0.1,1e-05,0.1,btab_auto_topk_1024,Active inverse,1225.0,35.0,1024.0,,1024.0,1225.0,,4.0,0.0501657849999901,0.1133330439997735,0.0003547325861438,0.0200081651194822,13.884457219760426,ok,group_b,selected by min time_total under 1.1x EFGP-CG train RMSE
synthetic_true_func_2d_n10000000,10000000,SE,SE,SE,1.5,0.1,1e-05,0.1,btab_boxeig_topk_512_q256,Box-EigenPro,1225.0,35.0,512.0,256.0,512.0,625.0,256.0,24.0,0.5120799289998104,0.5745078129998547,0.0003547367459048,0.0200081655939177,2.738984162432059,ok,group_b,selected by min time_total under 1.1x EFGP-CG train RMSE
synthetic_true_func_2d_n100000000,100000000,Matern-1.5,matern,Matern-1.5,1.5,0.1,1e-05,0.1,plain_cg,EFGP-CG,35721.0,189.0,,,,,,2771.0,2.989523351000116,3.991479263000201,0.0001993103849296,0.0200013088408282,1.0,ok,group_c,EFGP-CG baseline; speedup uses time_total
