Dataset,N,Kernel,reg_lambda,Method,method,top-k,|B|,q,Iter.,T_solve,T_total,RMSE,RMSE / RMSE_EFGP,Speedup
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,3000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_16384_q192,16384.0,21025.0,192.0,654.0,1.4777163530002326,1.5203058810002403,0.0306543184030564,0.9975065027040281,2.260213894416609
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,3000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_16384_q256,16384.0,21025.0,256.0,459.0,1.2528408100001798,1.2954879910003,0.0306543319406942,0.9975069432253785,2.652449501555612
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,3000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_16384_q320,16384.0,21025.0,320.0,357.0,1.2068742090000342,1.2433987859999434,0.0306543314203466,0.9975069262930133,2.763567501183151
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,3000000,SE,0.1,Active inverse,btab_auto_topk_512,512.0,625.0,,25.0,0.0566840179999417,0.0884676230002696,0.1431809943486871,0.9995997236955528,31.619480597905575
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,3000000,SE,0.1,Active inverse,btab_auto_topk_1024,1024.0,1225.0,,14.0,0.0670113080000192,0.0985709450001195,0.1431809949053552,0.9995997275818597,28.378547948347848
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,3000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_256_q128,256.0,361.0,128.0,333.0,0.8060428550002143,0.8378604120002819,0.1431809990756716,0.999599756696388,3.3386232944478924
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,3000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_512_q128,512.0,625.0,128.0,242.0,0.6570270440001877,0.6884726230000524,0.1431809997872946,0.9995997616644925,4.063052321253501
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,3000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_512_q256,512.0,625.0,256.0,23.0,0.5929295770001772,0.6243450370002392,0.1431809812084229,0.9995996319584858,4.480375630820907
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,3000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_768_q128,768.0,961.0,128.0,168.0,1.2059079159998871,1.2375249480001005,0.1431809896275781,0.9995996907357366,2.260399108333469
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,3000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_768_q256,768.0,961.0,256.0,13.0,0.9462804800000412,0.9782048289998784,0.1431809898116773,0.9995996920210014,2.8596263339446235
